Size:5  Cond:20.769229
Size:10 Cond:69.863394
Size:15 Cond:150.416852
Size:20 Cond:258.451911
Size:25 Cond:397.949557
Size:30 Cond:564.918999
Size:35 Cond:763.351135
Size:40 Cond:989.248958
Size:45 Cond:1246.598345
Size:50 Cond:1531.403475
Size:55 Cond:1847.643450
Size:60 Cond:2191.312780
Size:65 Cond:2566.403842
Size:70 Cond:2968.906376
Size:75 Cond:3402.748381
Size:80 Cond:3863.982112
Size:85 Cond:4356.541013
Size:90 Cond:4876.426269
Size:95 Cond:5427.548838
Size:100 Cond:6006.019064
Size:105 Cond:6615.617630
Size:110 Cond:7252.498605
Size:115 Cond:7920.518140
Size:120 Cond:8615.495151
