Size: 30
Type: Jordan
Step,AError,Residual
0,30.000000,11.313708
200,8.966608,0.184141
400,3.204970,0.065775
600,1.145597,0.023511
800,0.409487,0.008404
1000,0.146369,0.003004
1200,0.052319,0.001074
1400,0.018701,0.000384
1600,0.006685,0.000137
1800,0.002389,0.000049
2000,0.000854,0.000018
2200,0.000305,0.000006
2400,0.000109,0.000002
2600,0.000039,0.000001
2800,0.000014,0.000000
3000,0.000005,0.000000
3200,0.000002,0.000000
3313,0.000001,0.000000
Type: GS
Step,AError,Residual
0,30.000000,11.313708
100,9.003276,0.185149
200,3.226696,0.066469
300,1.154133,0.023797
400,0.412598,0.008509
500,0.147485,0.003042
600,0.052718,0.001087
700,0.018844,0.000389
800,0.006736,0.000139
900,0.002408,0.000050
1000,0.000861,0.000018
1100,0.000308,0.000006
1200,0.000110,0.000002
1300,0.000039,0.000001
1400,0.000014,0.000000
1500,0.000005,0.000000
1600,0.000002,0.000000
1657,0.000001,0.000000
Type: SOR,Omega: 1.82
Step,AError,Residual
0,30.000000,11.313708
5,15.093182,4.873271
10,9.836486,2.483885
15,6.395299,1.419013
20,4.036488,0.850536
25,2.401200,0.517580
30,1.282072,0.315822
35,0.581133,0.191602
40,0.217863,0.115504
45,0.067605,0.068877
50,0.026061,0.039904
55,0.014924,0.021222
60,0.004055,0.008502
65,0.000959,0.000132
70,0.000195,0.000034
75,0.000055,0.000013
80,0.000027,0.000007
85,0.000009,0.000004
90,0.000005,0.000002
95,0.000002,0.000001
100,0.000001,0.000001
102,0.000001,0.000001
