Size    Jacobi  GS      SOR
3       43      23      11
6       149     76      22
9       317     160     32
12      549     275     43
15      844     423     53
18      1205    604     64
21      1632    817     75
24      2125    1064    86
27      2685    1344    97
30      3313    1657    108
33      4008    2005    119
36      4771    2386    130
39      5602    2802    141
42      6501    3252    152
45      7470    3736    163
48      8508    4255    174
51      9614    4808    185
54      10791   5396    197
57      12037   6019    208
60      13353   6677    219
