A_n^2 n=30

Steps   Residual        Error
Steps   Residual        Error
2       7.18012619      1.36886001
3       7.95938826      0.72904563
4       7.18233252      0.59314132
5       7.20424795      0.42260268
6       6.62029362      0.40317735
7       6.40512228      0.35979840
8       5.88151598      0.31500453
9       5.57145214      0.29763347
10      5.09483624      0.27452555
11      4.75944948      0.22866175
12      4.33512449      0.20932257
13      4.01398468      0.21534707
14      3.74565554      0.20943795
15      4.38597870      0.21127920
16      10.37357807     0.38194463
17      26.97785950     1.40742588
18      51.93079376     2.26478434
19      137.24748230    5.75574875
20      530.30224609    16.83261871
21      1892.94653320   95.65467072
22      3039.15795898   84.89286041
23      17382.28710938  465.60913086
24      31793.22070312  869.74005127
25      122417.28906250 4611.06298828
26      285439.40625000 9042.95410156
27      997371.93750000 37331.44140625
28      2605539.50000000        72832.60937500
29      7122322.50000000        194819.23437500
30      37608152.00000000       612973.43750000
