A_n^2,n=30,m=20
Start,17,times.
,,
Steps,Residual,Error
Restart!,0,
1,8.5186367,29.52782631
2,6.76205397,29.14920998
3,5.58176994,28.82293129
4,4.74053955,28.5274334
5,4.10864258,28.24975014
6,3.61188293,27.98098373
7,3.20592928,27.71423531
8,2.86310124,27.44335365
9,2.56530523,27.16216469
10,2.30018997,26.86370087
11,2.05890751,26.53952408
12,1.83483863,26.17837906
13,1.62273479,25.76427078
14,1.41817641,25.27295303
15,1.21715653,24.66478539
16,1.01568198,23.86870766
17,0.80943877,22.74082756
18,0.59541917,20.93326569
19,2.37525368,17.33529854
Restart!,1,
20,0.42210156,17.28721809
21,0.37246549,17.241539
22,0.36934039,17.19489098
23,0.36733374,17.14660072
24,0.36540407,17.09593773
25,0.36346701,17.04208374
26,0.36147884,16.98394585
27,0.35939512,16.92019081
28,0.35716587,16.84906578
29,0.35472754,16.76813698
30,0.35199553,16.6740036
31,0.34885076,16.56164169
32,0.34511542,16.42336082
33,0.3405067,16.24663925
34,0.33454332,16.00957298
35,0.32632375,15.6703949
36,0.31399617,15.13819885
37,0.32462952,14.17482853
38,8.07080746,11.98974895
Restart!,2,
39,0.53451681,11.91214657
40,0.25188154,11.88088512
41,0.24355695,11.84911442
42,0.24260481,11.81621361
43,0.24187791,11.78170109
44,0.24112003,11.74496555
45,0.24030334,11.70532608
46,0.23940775,11.66181374
47,0.23840809,11.61325741
48,0.23727041,11.55798149
49,0.23594657,11.49365807
50,0.23436584,11.41683483
51,0.23241983,11.32225037
52,0.22993127,11.20125771
53,0.22659156,11.03885078
54,0.22181065,10.80623245
55,0.21447442,10.44081879
56,0.28050938,9.77834797
57,11.33211517,8.3714819
Restart!,3,
58,0.58961159,8.21942234
59,0.18116562,8.19759655
60,0.16829376,8.1756773
61,0.16735618,8.15298271
62,0.16683637,8.12916851
63,0.16631342,8.1038332
64,0.16575177,8.07647419
65,0.16513573,8.04646206
66,0.16444816,8.01295948
67,0.16366552,7.97482586
68,0.16275468,7.93044329
69,0.16166693,7.87744188
70,0.16032755,7.81218386
71,0.15861449,7.72871399
72,0.15631478,7.61665821
73,0.15302244,7.45616484
74,0.14804511,7.2040472
75,0.22066474,6.746984
76,9.86202049,5.83114004
Restart!,4,
77,0.57737893,5.67166328
78,0.14011528,5.65628958
79,0.11684531,5.64115095
80,0.11551565,5.62549305
81,0.11511851,5.60906124
82,0.11475493,5.59157705
83,0.11436686,5.5727005
84,0.11394186,5.55199385
85,0.11346749,5.52887726
86,0.11292749,5.50256395
87,0.11229904,5.47194195
88,0.11154862,5.43537521
89,0.11062449,5.39034224
90,0.10944235,5.33274794
91,0.10785577,5.25543165
92,0.10558519,5.14469671
93,0.10228023,4.97073555
94,0.18864702,4.65538979
