50
Step    Error   Residual
1       48.516285       7.337076
2       47.212204       5.437124
3       46.233349       4.831962
4       45.242546       3.739207
5       44.255905       3.425310
6       43.304893       2.860101
7       42.320179       2.652995
8       41.376919       2.315526
9       40.394207       2.166554
10      39.450600       1.944542
11      38.468678       1.831846
12      37.521820       1.675587
13      36.539368       1.587261
14      35.587860       1.471721
15      34.603588       1.400606
16      33.646442       1.311912
17      32.659035       1.253425
18      31.695307       1.183303
19      30.703350       1.134355
20      29.731928       1.077585
21      28.733814       1.036022
22      27.753281       0.989161
23      26.747051       0.953431
24      25.755516       0.914113
25      24.738686       0.883074
26      23.733557       0.849627
27      22.702812       0.822413
28      21.680437       0.793622
29      20.631144       0.769588
30      19.585983       0.744803
31      18.508932       0.725698
32      17.413855       0.717257
33      16.193085       0.753072
34      14.617701       0.887007
35      11.966018       1.153732
36      7.855155        1.267772
37      4.619601        0.872212
38      3.532944        0.499656
39      3.071642        0.422054
40      2.522420        0.471648
41      1.982836        0.365292
42      1.702630        0.286586
43      1.414685        0.304117
44      1.132560        0.241300
45      0.960346        0.202806
46      0.777909        0.199070
47      0.633594        0.149287
48      0.533860        0.134205
49      0.434973        0.107437
50      0.373833        0.091078
51      0.315149        0.084165
52      0.259279        0.065569
53      0.217445        0.061647
54      0.173727        0.050058
55      0.143165        0.043316
56      0.112145        0.037379
57      0.089401        0.030193
58      0.069062        0.026486
59      0.052644        0.020812
60      0.039918        0.017671
61      0.028956        0.013913
62      0.021254        0.011146
63      0.014598        0.008791
64      0.010212        0.006536
65      0.006719        0.005026
66      0.004549        0.003438
67      0.003037        0.002513
68      0.002126        0.001611
69      0.001528        0.001155
70      0.001109        0.000778
71      0.000785        0.000607
72      0.000516        0.000438
73      0.000339        0.000311
74      0.000233        0.000194
75      0.000176        0.000129
76      0.000128        0.000095
77      0.000090        0.000071
78      0.000064        0.000047
79      0.000053        0.000030
80      0.000046        0.000022
81      0.000041        0.000016
82      0.000038        0.000011
83      0.000037        0.000007
84      0.000036        0.000005
85      0.000035        0.000004
86      0.000035        0.000003
87      0.000035        0.000002
88      0.000035        0.000001
89      0.000035        0.000001
90      0.000034        0.000001
91      0.000034        0.000001
92      0.000034        0.000001
93      0.000034        0.000001
94      0.000034        0.000000
95      0.000034        0.000000
96      0.000034        0.000000
97      0.000034        0.000000
98      0.000034        0.000001
99      0.000033        0.000001
100     0.000031        0.000001
101     0.000029        0.000001

51
Step    Error   Residual
1       49.515987       7.405116
2       48.210621       5.481418
3       47.230099       4.878679
4       46.240852       3.772993
5       45.252983       3.457465
6       44.303280       2.886955
7       43.317768       2.677757
8       42.375626       2.337647
9       41.392452       2.186794
10      40.449860       1.963284
11      39.467770       1.848998
12      38.521923       1.691815
13      37.539577       1.602164
14      36.589146       1.486015
15      35.605255       1.413798
16      34.649326       1.324680
17      33.662613       1.265264
18      32.700321       1.194833
19      31.709444       1.145096
20      30.739790       1.088095
21      29.743237       1.045855
22      28.764944       0.998813
23      27.760914       0.962499
24      26.772295       0.923036
25      25.758539       0.891487
26      24.757305       0.857921
27      23.730873       0.830260
28      22.713831       0.801370
29      21.670683       0.776924
30      20.633217       0.751847
31      19.567080       0.730627
32      18.497492       0.712709
33      17.365728       0.714771
34      16.090202       0.771670
35      14.274532       0.947991
36      11.192874       1.220576
37      6.908934        1.205420
38      4.334325        0.754299
39      3.506356        0.457388
40      3.058609        0.431400
41      2.454919        0.465657
42      1.978839        0.337022
43      1.713298        0.289110
44      1.406554        0.301556
45      1.143700        0.229891
46      0.975499        0.205787
47      0.785016        0.195886
48      0.651295        0.147529
49      0.547915        0.138472
50      0.451208        0.109668
51      0.392063        0.092839
52      0.328450        0.082757
53      0.272090        0.066752
54      0.229055        0.062634
55      0.184015        0.050902
56      0.152984        0.044577
57      0.120242        0.038473
58      0.097181        0.031317
59      0.075359        0.027772
60      0.058452        0.021853
61      0.044649        0.018906
62      0.033047        0.014897
63      0.024568        0.012175
64      0.017307        0.009716
65      0.012301        0.007369
66      0.008312        0.005810
67      0.005662        0.004068
68      0.003829        0.003067
69      0.002641        0.002012
70      0.001907        0.001450
71      0.001385        0.000969
72      0.001026        0.000731
73      0.000705        0.000547
74      0.000473        0.000407
75      0.000305        0.000271
76      0.000220        0.000169
77      0.000162        0.000117
78      0.000116        0.000088
79      0.000075        0.000066
80      0.000052        0.000041
81      0.000039        0.000029
82      0.000030        0.000021
83      0.000024        0.000015
