500
Step,Residual^2,A.Error
1,53.832649230957,48.51628494
2,29.562286376953,47.21220398
3,23.347803115845,46.23334885
4,13.981593132019,45.24254608
5,11.732686042786,44.25590897
6,8.180153846741,43.30489731
7,7.038338661194,42.32018280
8,5.361625671387,41.37692642
9,4.693946361542,40.39421463
10,3.781231164932,39.45060349
11,3.355652809143,38.46867752
12,2.807584762573,37.52182007
13,2.519401311874,36.53936768
14,2.165968179703,35.58785248
15,1.961706995964,34.60357666
16,1.721120715141,33.64643097
17,1.571079969406,32.65901566
18,1.400211215019,31.69528580
19,1.286767005920,30.70332909
20,1.161194443703,29.73190498
21,1.073344826698,28.73378944
22,0.978439569473,27.75325775
23,0.909032940865,26.74703026
24,0.835603594780,25.75549507
25,0.779819309711,24.73866844
26,0.721864283085,23.73354149
27,0.676361680031,22.70280075
28,0.629833638668,21.68042946
29,0.592263996601,20.63114357
30,0.554730057716,19.58598709
31,0.526636123657,18.50893974
32,0.514455437660,17.41386414
33,0.567115843296,16.19309807
34,0.786779046059,14.61771870
35,1.331094264984,11.96603870
36,1.607245564461,7.85517550
37,0.760755002499,4.61961460
38,0.249656558037,3.53295612
39,0.178129523993,3.07165313
40,0.222451150417,2.52243114
41,0.133438333869,1.98284626
42,0.082131430507,1.70263946
43,0.092486619949,1.41469491
44,0.058225203305,1.13256955
45,0.041130188853,0.96035480
46,0.039628650993,0.77791703
47,0.022286538035,0.63360143
48,0.018010849133,0.53386676
49,0.011542729102,0.43497899
50,0.008295059204,0.37383941
51,0.007083646953,0.31515491
52,0.004299215972,0.25928441
53,0.003800324630,0.21744999
54,0.002505743178,0.17373134
55,0.001876261784,0.14316894
56,0.001397169079,0.11214851
57,0.000911582727,0.08940357
58,0.000701480021,0.06906421
59,0.000433125242,0.05264572
60,0.000312256714,0.03991973
61,0.000193559143,0.02895747
62,0.000124242986,0.02125499
63,0.000077285025,0.01459892
64,0.000042721600,0.01021346
65,0.000025259273,0.00671961
66,0.000011817158,0.00454977
67,0.000006313907,0.00303768
68,0.000002595787,0.00212720
69,0.000001334896,0.00152978
70,0.000000605425,0.00111088
71,0.000000368795,0.00078734
72,0.000000191903,0.00051904
73,0.000000097018,0.00034342
74,0.000000037790,0.00023992
75,0.000000016581,0.00018458
76,0.000000009124,0.00014016
77,0.000000005128,0.00010554
78,0.000000002312,0.00008430
79,0.000000000944,0.00007555
80,0.000000000517,0.00007061
81,0.000000000272,0.00006734
82,0.000000000136,0.00006560
83,0.000000000060,0.00006476
84,0.000000000030,0.00006418
85,0.000000000014,0.00006378
86,0.000000000007,0.00006350
87,0.000000000004,0.00006318
88,0.000000000002,0.00006284
89,0.000000000002,0.00006258
90,0.000000000001,0.00006229
91,0.000000000001,0.00006194
92,0.000000000001,0.00006178
51
Step,Residual^2,A.Error
1,54.835708618164,49.51598740
2,30.045953750610,48.21062088
3,23.801527023315,47.23009872
4,14.235505104065,46.24085236
5,11.954102516174,45.25297928
6,8.334512710571,44.30327606
7,7.170374870300,43.31776810
8,5.464601993561,42.37562561
9,4.782087326050,41.39244843
10,3.854495525360,40.44985580
11,3.418803215027,39.46776581
12,2.862251758575,38.52191925
13,2.566947460175,37.53956985
14,2.208252668381,36.58913422
15,1.998838305473,35.60524368
16,1.754791975021,34.64931107
17,1.600905895233,33.66259384
18,1.427638411522,32.70030212
19,1.311257600784,31.70942116
20,1.183961987495,30.73976326
21,1.093822121620,29.74320793
22,0.997632980347,28.76491737
23,0.926410436630,27.76088905
24,0.852000534534,26.77227211
25,0.794753193855,25.75851822
26,0.736033320427,24.75728607
27,0.689336895943,23.73085213
28,0.642198681831,22.71380997
29,0.603617548943,21.67066002
30,0.565280914307,20.63319016
31,0.533822774887,19.56704903
32,0.507960557938,18.49745560
33,0.510903894901,17.36569023
34,0.595483183861,16.09015656
35,0.898701071739,14.27447701
36,1.489830136299,11.19279861
37,1.453059554100,6.90883303
38,0.568975687027,4.33421850
39,0.209206879139,3.50625157
40,0.186108276248,3.05850816
41,0.216839656234,2.45482492
42,0.113585360348,1.97875345
43,0.083585478365,1.71321785
44,0.090937428176,1.40648079
45,0.052850328386,1.14363503
46,0.042348504066,0.97544014
47,0.038371607661,0.78496557
48,0.021764962003,0.65125108
49,0.019174626097,0.54787725
50,0.012027161196,0.45117584
51,0.008619115688,0.39203417
52,0.006848689169,0.32842594
53,0.004455779213,0.27206916
54,0.003923024517,0.22903642
55,0.002591018565,0.18400005
56,0.001987095224,0.15297085
57,0.001480144914,0.12023108
58,0.000980761950,0.09717164
59,0.000771306455,0.07535042
60,0.000477560301,0.05844484
61,0.000357452896,0.04464265
62,0.000221920462,0.03304170
63,0.000148235296,0.02456424
64,0.000094391995,0.01730416
65,0.000054297834,0.01229830
66,0.000033753240,0.00830982
67,0.000016545710,0.00566153
68,0.000009405025,0.00382975
69,0.000004046786,0.00264271
70,0.000002101832,0.00191056
71,0.000000939057,0.00138980
72,0.000000534266,0.00103250
73,0.000000298881,0.00071425
74,0.000000165854,0.00048640
75,0.000000073277,0.00032592
76,0.000000028606,0.00024780
77,0.000000013712,0.00019765
78,0.000000007777,0.00016211
79,0.000000004344,0.00013546
80,0.000000001713,0.00012339
81,0.000000000817,0.00011779
82,0.000000000435,0.00011453
83,0.000000000232,0.00011206
84,0.000000000099,0.00011074
85,0.000000000052,0.00010980
86,0.000000000025,0.00010910
87,0.000000000013,0.00010843
88,0.000000000008,0.00010777
89,0.000000000006,0.00010717
90,0.000000000004,0.00010666
91,0.000000000005,0.00010584
92,0.000000000005,0.00010403
93,0.000000000006,0.00010171
94,0.000000000007,0.00009863
95,0.000000000007,0.00009492
96,0.000000000008,0.00009067
97,0.000000000010,0.00008499
98,0.000000000015,0.00007708
99,0.000000000022,0.00006535
100,0.000000000026,0.00004818
101,0.000000000022,0.00003206
102,0.000000000015,0.00002134
103,0.000000000006,0.00001689
104,0.000000000003,0.00001586
105,0.000000000001,0.00001599
106,0.000000000001,0.00001604
