No.,Order,CGS,,,MGS,,,H,,,G
,,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err
1,1062,4.2805e-12,0.361,5.7095e-16,4.2805e-12,0.332,5.7095e-16,1.0855e-13,0.736,2.1556e-15,1.6501e-13,0.761,3.9621e-15
2,1378,1.3049e-11,0.844,5.9411e-16,1.3049e-11,1.035,5.9411e-16,1.4034e-13,5.163,2.5362e-15,2.1177e-13,1.819,4.4187e-15
3,1473,1.6923e-11,1.106,6.0077e-16,1.6923e-11,1.201,6.0077e-16,1.5040e-13,2.960,2.5080e-15,2.2281e-13,2.364,4.3876e-15
4,1212,6.7494e-12,0.569,5.8604e-16,6.7494e-12,0.598,5.8604e-16,1.2341e-13,1.423,2.3684e-15,1.8817e-13,1.485,4.1997e-15
5,697,1.0003e-12,0.125,1.1775e+00,1.0003e-12,0.111,1.1775e+00,6.9951e-14,0.261,1.7431e-15,1.0988e-13,0.198,3.3008e-15
6,866,2.0772e-12,0.207,5.6004e-16,2.0772e-12,0.197,5.6004e-16,8.9835e-14,0.313,1.9318e-15,1.3292e-13,0.605,3.4495e-15
7,1085,4.1179e-12,0.399,5.7638e-16,4.1179e-12,0.466,5.7638e-16,1.1217e-13,1.363,2.3180e-15,1.6682e-13,0.832,3.9344e-15
8,722,9.9577e-13,0.117,5.4113e-16,9.9577e-13,0.135,5.4113e-16,7.6818e-14,0.131,1.9502e-15,1.1182e-13,0.208,3.3393e-15
9,916,2.6024e-12,0.222,5.5900e-16,2.6024e-12,0.207,5.5900e-16,9.4464e-14,0.324,2.0068e-15,1.4180e-13,0.453,3.5328e-15
10,1477,1.6696e-11,0.978,6.0311e-16,1.6696e-11,1.078,6.0311e-16,1.4919e-13,3.703,2.5294e-15,2.2625e-13,3.599,4.4657e-15
11,966,3.1970e-12,0.286,3.8725e-01,3.1970e-12,0.276,3.8725e-01,9.9455e-14,3.706,2.1133e-15,1.4587e-13,1.004,3.6430e-15
12,1464,1.7068e-11,1.215,5.9769e-16,1.7068e-11,1.421,5.9769e-16,1.4907e-13,4.169,2.5349e-15,2.2720e-13,2.631,4.5202e-15
13,551,4.7835e-13,0.054,1.8627e+00,4.7835e-13,0.055,1.8627e+00,5.7012e-14,0.091,1.5992e-15,8.4605e-14,0.120,2.9128e-15
14,1279,8.3440e-12,0.708,5.8804e-16,8.3440e-12,0.805,5.8804e-16,1.2784e-13,2.577,2.4366e-15,1.9589e-13,1.547,4.2011e-15
15,986,3.3123e-12,0.285,5.6521e-16,3.3123e-12,0.261,5.6521e-16,1.0268e-13,0.639,2.2007e-15,1.5062e-13,0.596,3.5147e-15
16,1305,1.0940e-11,0.699,5.8844e-16,1.0940e-11,0.765,5.8844e-16,1.3326e-13,2.642,2.4237e-15,1.9868e-13,1.804,4.2336e-15
17,1972,6.3181e-11,2.509,6.2929e-16,6.3181e-11,3.237,6.2929e-16,1.9999e-13,15.842,2.9421e-15,3.0041e-13,6.562,4.9416e-15
18,1865,5.5091e-11,2.304,6.2182e-16,5.5091e-11,2.632,6.2182e-16,1.8687e-13,6.702,2.8605e-15,2.8463e-13,4.921,5.1255e-15
19,1984,6.9980e-11,2.484,6.2802e-16,6.9980e-11,3.554,6.2802e-16,2.0535e-13,8.802,3.0339e-15,3.0388e-13,6.195,5.1113e-15
20,1303,1.0284e-11,0.676,5.8741e-16,1.0284e-11,0.763,5.8741e-16,1.3065e-13,2.804,2.3563e-15,1.9881e-13,1.842,4.3403e-15
21,1271,8.5429e-12,0.697,4.7929e-01,8.5429e-12,0.708,4.7929e-01,1.2923e-13,2.130,2.3550e-15,1.9520e-13,1.572,4.1584e-15
22,1084,4.2455e-12,0.396,1.2444e+00,4.2455e-12,0.459,1.2444e+00,1.1337e-13,4.417,2.3546e-15,1.6680e-13,1.529,3.9347e-15
23,1172,6.3298e-12,0.669,2.3872e-02,6.3298e-12,1.031,2.3872e-02,1.1710e-13,2.677,2.2056e-15,1.8015e-13,1.271,4.0099e-15
24,1907,5.2318e-11,3.362,6.2777e-16,5.2318e-11,3.081,6.2777e-16,1.9149e-13,7.333,2.8582e-15,2.9337e-13,5.077,5.1645e-15
25,1282,7.7898e-12,0.625,2.6732e-01,7.7898e-12,0.666,2.6732e-01,1.2858e-13,1.648,2.2128e-15,1.9693e-13,1.570,4.2466e-15
26,936,2.5507e-12,0.226,3.5674e-04,2.5507e-12,0.222,3.5674e-04,9.6760e-14,0.484,2.0429e-15,1.4207e-13,0.479,3.4906e-15
27,1523,2.0422e-11,1.134,2.0380e-04,2.0422e-11,1.376,2.0380e-04,1.4873e-13,3.288,2.3730e-15,2.3517e-13,2.722,4.5660e-15
28,1678,2.7676e-11,1.571,6.1337e-16,2.7676e-11,1.971,6.1337e-16,1.7164e-13,7.584,2.7763e-15,2.5903e-13,3.445,4.8371e-15
29,1204,7.0241e-12,0.518,5.8147e-16,7.0241e-12,0.573,5.8147e-16,1.2599e-13,1.344,2.5305e-15,1.8311e-13,1.215,4.0067e-15
30,674,8.1960e-13,0.102,1.2642e+00,8.1960e-13,0.101,1.2642e+00,7.3783e-14,0.166,1.9461e-15,1.0205e-13,0.171,3.1051e-15
31,1292,8.5441e-12,0.723,2.8429e-02,8.5441e-12,0.692,2.8429e-02,1.2972e-13,1.694,2.4228e-15,1.9462e-13,1.467,4.1879e-15
32,695,1.0697e-12,0.112,1.2019e+00,1.0697e-12,0.113,1.2019e+00,7.3867e-14,0.074,1.8215e-15,1.0625e-13,0.189,3.1752e-15
33,695,1.0697e-12,0.111,5.3585e-16,1.0697e-12,0.115,5.3585e-16,7.3867e-14,0.076,1.8215e-15,1.0625e-13,0.209,3.1752e-15
34,1906,5.1171e-11,2.180,6.2925e-16,5.1171e-11,2.873,6.2925e-16,1.9049e-13,7.458,2.7972e-15,2.9284e-13,4.925,5.2041e-15
35,1955,6.6204e-11,2.549,6.2735e-16,6.6204e-11,3.058,6.2735e-16,1.9859e-13,7.508,3.0181e-15,2.9927e-13,5.534,5.2879e-15
36,1022,3.4570e-12,0.302,1.7498e+00,3.4570e-12,0.293,1.7498e+00,1.0495e-13,0.731,2.1353e-15,1.5840e-13,0.638,3.8254e-15
37,1661,2.7968e-11,1.501,6.1504e-16,2.7968e-11,1.789,6.1504e-16,1.6682e-13,5.517,2.6163e-15,2.5337e-13,3.463,4.5549e-15
38,1374,1.3117e-11,0.795,5.9062e-16,1.3117e-11,0.886,5.9062e-16,1.3806e-13,2.230,2.4109e-15,2.1270e-13,3.269,4.1974e-15
39,1800,4.1235e-11,1.942,6.1941e-16,4.1235e-11,2.220,6.1941e-16,1.8190e-13,6.984,2.7150e-15,2.7607e-13,4.251,5.1419e-15
40,677,1.0034e-12,0.129,1.9685e+00,1.0034e-12,0.112,1.9685e+00,7.1184e-14,0.070,1.8080e-15,1.0293e-13,0.189,3.0870e-15
41,677,1.0034e-12,0.117,5.3651e-16,1.0034e-12,0.114,5.3651e-16,7.1184e-14,0.083,1.8080e-15,1.0293e-13,0.235,3.0870e-15
42,1596,2.1529e-11,1.287,6.1132e-16,2.1529e-11,1.489,6.1132e-16,1.6206e-13,3.895,2.6006e-15,2.4179e-13,2.835,4.5124e-15
43,1603,2.6215e-11,1.343,6.0602e-16,2.6215e-11,1.618,6.0602e-16,1.6364e-13,3.899,2.7696e-15,2.4309e-13,3.248,4.7263e-15
44,835,1.6356e-12,0.167,5.5438e-16,1.6356e-12,0.175,5.5438e-16,8.5048e-14,0.291,1.8853e-15,1.2745e-13,0.466,3.3429e-15
45,1443,1.3505e-11,1.058,6.0049e-16,1.3505e-11,1.121,6.0049e-16,1.4439e-13,3.556,2.4996e-15,2.2286e-13,2.267,4.3980e-15
