No.,Order,CGS,,,MGS,,,H,,,G
,,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err
1,1515,0.0000e+00,2.435,6.0611e-16,0.0000e+00,2.781,6.0611e-16,0.0000e+00,8.015,1.4351e+00,0.0000e+00,2.452,1.4124e+00
2,517,0.0000e+00,0.129,5.1730e-16,0.0000e+00,0.113,5.1730e-16,0.0000e+00,1.419,1.4919e+00,0.0000e+00,0.072,1.4012e+00
3,622,0.0000e+00,0.201,5.2889e-16,0.0000e+00,0.188,5.2889e-16,0.0000e+00,1.748,1.4773e+00,0.0000e+00,0.160,1.4129e+00
4,597,0.0000e+00,0.147,5.2278e-16,0.0000e+00,0.169,5.2278e-16,0.0000e+00,0.225,1.4755e+00,0.0000e+00,0.145,1.4098e+00
5,1434,0.0000e+00,2.975,6.0125e-16,0.0000e+00,2.818,6.0125e-16,0.0000e+00,2.947,1.4324e+00,0.0000e+00,2.132,1.4141e+00
6,1316,0.0000e+00,1.973,5.9003e-16,0.0000e+00,1.956,5.9003e-16,0.0000e+00,1.716,1.4367e+00,0.0000e+00,1.420,1.4114e+00
7,1695,0.0000e+00,4.728,6.1257e-16,0.0000e+00,4.592,6.1257e-16,0.0000e+00,4.510,1.4288e+00,0.0000e+00,2.778,1.4159e+00
8,1912,0.0000e+00,6.004,6.2759e-16,0.0000e+00,6.163,6.2759e-16,0.0000e+00,2.249,1.4284e+00,0.0000e+00,4.096,1.4123e+00
9,616,0.0000e+00,0.205,5.2628e-16,0.0000e+00,0.214,5.2628e-16,0.0000e+00,0.040,1.4802e+00,0.0000e+00,0.142,1.4122e+00
10,1341,0.0000e+00,1.947,5.9474e-16,0.0000e+00,2.074,5.9474e-16,0.0000e+00,0.822,1.4378e+00,0.0000e+00,1.392,1.4129e+00
11,1057,0.0000e+00,1.065,5.7517e-16,0.0000e+00,1.043,5.7517e-16,0.0000e+00,0.293,1.4481e+00,0.0000e+00,0.668,1.4110e+00
12,733,0.0000e+00,0.337,5.4245e-16,0.0000e+00,0.316,5.4245e-16,0.0000e+00,0.140,1.4603e+00,0.0000e+00,0.236,1.4092e+00
13,536,0.0000e+00,0.125,5.1291e-16,0.0000e+00,0.139,5.1291e-16,0.0000e+00,0.030,1.4846e+00,0.0000e+00,0.110,1.3988e+00
14,536,0.0000e+00,0.126,5.1291e-16,0.0000e+00,0.138,5.1291e-16,0.0000e+00,0.060,1.4846e+00,0.0000e+00,0.133,1.3988e+00
15,1908,0.0000e+00,6.055,6.2673e-16,0.0000e+00,6.448,6.2673e-16,0.0000e+00,3.246,1.4301e+00,0.0000e+00,4.045,1.4111e+00
