No.,Order,CGS,,,MGS,,,H,,,G,,
,,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err
1,1621,7.2515E-09,40.275,6.0111E-14,7.2515E-09,48.177,6.0111E-14,1.6178E-13,7.887,2.9177E-15,2.4952E-13,3.855,4.7923E-15
2,1489,3.6402E-09,32.944,4.6997E-14,3.6402E-09,32.268,4.6997E-14,1.4951E-13,6.369,2.8683E-15,2.3076E-13,3.056,4.5212E-15
3,1146,8.3877E-10,4.469,3.0389E-14,8.3877E-10,4.691,3.0389E-14,1.175E-13,2.079,2.5307E-15,1.738E-13,1.196,3.8373E-15
4,1769,1.1949E-08,67.285,6.6921E-14,1.1949E-08,63.062,6.6921E-14,1.7562E-13,10.275,3.0128E-15,2.6865E-13,4.982,4.7535E-15
5,1399,2.9211E-09,23.13,4.5405E-14,2.9211E-09,23.11,4.5405E-14,1.4172E-13,4.245,2.7873E-15,2.1455E-13,2.294,4.4123E-15
6,861,2.1002E-10,0.788,2.2012E-14,2.1002E-10,0.793,2.2012E-14,8.8836E-14,0.472,2.2404E-15,1.3063E-13,0.463,3.3787E-15
7,1077,5.8871E-10,2.565,2.954E-14,5.8871E-10,2.602,2.954E-14,1.0942E-13,1.508,2.4383E-15,1.6517E-13,1.002,3.8493E-15
8,1526,5.5109E-09,37.704,5.3913E-14,5.5109E-09,35.332,5.3913E-14,1.5522E-13,6.28,2.9576E-15,2.3199E-13,3.123,4.5522E-15
9,1596,4.6547E-09,46.174,4.845E-14,4.6547E-09,45.937,4.845E-14,1.648E-13,8.425,3.1225E-15,2.4245E-13,4.234,4.5839E-15
10,548,3.8885E-11,0.219,1.9874,3.8885E-11,0.207,1.9874,5.757E-14,0.382,1.8171E-15,8.3498E-14,0.128,2.8346E-15
11,1069,6.7287E-10,2.518,0.25937,6.7287E-10,2.445,0.25937,1.0853E-13,1.807,2.4514E-15,1.6474E-13,1.026,3.7925E-15
12,771,1.0936E-10,0.606,0.00047666,1.0936E-10,0.591,0.00047666,7.8597E-14,0.24,2.047E-15,1.1738E-13,0.324,3.3933E-15
13,1482,3.0436E-09,31.022,4.4899E-14,3.0436E-09,30.709,4.4899E-14,1.4842E-13,5.211,2.7684E-15,2.2348E-13,3.131,4.3204E-15
14,1325,2.0282E-09,16.182,3.8087E-14,2.0282E-09,17.724,3.8087E-14,1.3505E-13,5.537,2.7173E-15,2.0013E-13,2.512,4.208E-15
15,709,1.0693E-10,0.495,1.9612E-14,1.0693E-10,0.481,1.9612E-14,7.2688E-14,0.343,2.0488E-15,1.079E-13,0.27,3.1122E-15
16,1765,1.1445E-08,56.837,6.3856E-14,1.1445E-08,69.551,6.3856E-14,1.7853E-13,10.786,3.1152E-15,2.6923E-13,5.459,4.9148E-15
17,638,7.5414E-11,0.504,2.0273,7.5414E-11,0.307,2.0273,6.6583E-14,0.359,1.9214E-15,9.6581E-14,0.186,3.1596E-15
18,1042,5.53E-10,1.992,1.2112,5.53E-10,1.869,1.2112,1.0688E-13,4.46,2.4036E-15,1.6096E-13,1.44,3.724E-15
19,1479,3.2807E-09,32.779,4.4644E-14,3.2807E-09,32.096,4.4644E-14,1.5527E-13,7.305,2.9273E-15,2.2557E-13,2.744,4.4171E-15
20,934,3.2113E-10,0.981,0.62399,3.2113E-10,0.958,0.62399,9.4057E-14,0.632,2.3386E-15,1.4405E-13,0.611,3.6779E-15
21,917,3.4957E-10,1.004,0.39688,3.4957E-10,0.946,0.39688,9.5781E-14,0.978,2.3654E-15,1.3973E-13,0.567,3.5591E-15
22,1262,1.5779E-09,10.05,3.7902E-14,1.5779E-09,10.069,3.7902E-14,1.2773E-13,3.828,2.5753E-15,1.9214E-13,1.609,4.252E-15
23,1129,7.5816E-10,4.316,3.0399E-14,7.5816E-10,4.447,3.0399E-14,1.1542E-13,3.938,2.5755E-15,1.7069E-13,1.375,3.8253E-15
24,920,3.0989E-10,0.889,0.00036471,3.0989E-10,0.942,0.00036471,9.4809E-14,1.014,2.2912E-15,1.4116E-13,0.584,3.6022E-15
25,1826,1.1221E-08,79.214,6.2928E-14,1.1221E-08,76.753,6.2928E-14,1.8692E-13,13.461,3.2451E-15,2.7578E-13,5.395,5.0825E-15
26,1523,4.6088E-09,37.974,5.3188E-14,4.6088E-09,37.891,5.3188E-14,1.552E-13,6.862,2.9359E-15,2.3372E-13,3.109,4.5729E-15
27,598,5.989E-11,0.245,1.7159,5.989E-11,0.241,1.7159,6.251E-14,0.088,1.8916E-15,9.1397E-14,0.143,2.8986E-15
28,598,5.989E-11,0.251,1.4359E-14,5.989E-11,0.249,1.4359E-14,6.251E-14,0.087,1.8916E-15,9.1397E-14,0.146,2.8986E-15
29,647,6.6593E-11,0.317,0.049197,6.6593E-11,0.298,0.049197,6.7842E-14,0.156,1.9959E-15,9.7695E-14,0.182,3.0295E-15
30,1150,8.0669E-10,4.226,3.1123E-14,8.0669E-10,4.406,3.1123E-14,1.203E-13,2.226,2.6759E-15,1.7457E-13,1.286,3.9766E-15
31,1643,6.5404E-09,51.386,5.6485E-14,6.5404E-09,50.922,5.6485E-14,1.6348E-13,6.973,3.0214E-15,2.4924E-13,3.838,4.5147E-15
32,745,1.2095E-10,0.454,1.6745,1.2095E-10,0.432,1.6745,7.7703E-14,0.19,2.0726E-15,1.1298E-13,0.257,3.238E-15
33,1515,3.5999E-09,35,4.611E-14,3.5999E-09,35.025,4.611E-14,1.5275E-13,5.209,2.9587E-15,2.2954E-13,2.903,4.5483E-15
