100,1.999
0,,9.9638292e-01
1,2.2695648e-01,1.7419399e+00,9.9336905e-01
2,6.8914625e-02,2.0378110e+00,9.0369063e-01
3,8.4344715e-02,2.0532411e+00,9.9998666e-01
4,1.0495828e-01,2.0738547e+00,9.6156247e-01
5,1.1724352e-01,2.0861399e+00,9.9837329e-01
6,1.1669794e-01,2.0855943e+00,9.6486805e-01
7,1.1025332e-01,2.0791497e+00,9.8490016e-01
8,1.0700583e-01,2.0759022e+00,9.6913515e-01
9,1.0758619e-01,2.0764826e+00,9.7633702e-01
10,1.0907792e-01,2.0779743e+00,9.7283637e-01
11,1.0974957e-01,2.0786459e+00,9.7376558e-01
12,1.0958622e-01,2.0784826e+00,9.7302303e-01
13,1.0923745e-01,2.0781338e+00,9.7320567e-01
14,1.0909484e-01,2.0779912e+00,9.7322412e-01
15,1.0914110e-01,2.0780375e+00,9.7329078e-01
16,1.0922132e-01,2.0781177e+00,9.7328223e-01
17,1.0925122e-01,2.0781476e+00,9.7326504e-01
18,1.0923884e-01,2.0781352e+00,9.7325433e-01
19,1.0922040e-01,2.0781168e+00,9.7325555e-01
20,1.0921420e-01,2.0781106e+00,9.7325996e-01
21,1.0921744e-01,2.0781138e+00,9.7326218e-01
22,1.0922166e-01,2.0781180e+00,9.7326181e-01
23,1.0922292e-01,2.0781193e+00,9.7326078e-01
24,1.0922209e-01,2.0781185e+00,9.7326030e-01
25,1.0922113e-01,2.0781175e+00,9.7326041e-01
26,1.0922088e-01,2.0781173e+00,9.7326065e-01
27,1.0922109e-01,2.0781175e+00,9.7326075e-01
28,1.0922131e-01,2.0781177e+00,9.7326072e-01
29,1.0922136e-01,2.0781177e+00,9.7326067e-01
30,1.0922130e-01,2.0781177e+00,9.7326065e-01
31,1.0922125e-01,2.0781176e+00,9.7326065e-01
32,1.0922125e-01,2.0781176e+00,9.7326067e-01
100,2.999
0,,9.9968553e-01
1,2.7704967e-01,2.7049385e+00,9.9999179e-01
2,4.7814942e-02,3.0298031e+00,9.9999019e-01
3,4.9179978e-02,3.0311681e+00,9.9998797e-01
4,5.5419029e-02,3.0374072e+00,9.9997999e-01
5,5.3979959e-02,3.0359681e+00,9.9998017e-01
6,5.2600963e-02,3.0345891e+00,9.9998272e-01
7,5.2917545e-02,3.0349057e+00,9.9998295e-01
8,5.3319356e-02,3.0353075e+00,9.9998231e-01
9,5.3273765e-02,3.0352619e+00,9.9998219e-01
10,5.3160205e-02,3.0351484e+00,9.9998235e-01
11,5.3161620e-02,3.0351498e+00,9.9998240e-01
12,5.3192362e-02,3.0351805e+00,9.9998236e-01
13,5.3194963e-02,3.0351831e+00,9.9998234e-01
14,5.3186918e-02,3.0351751e+00,9.9998235e-01
15,5.3185438e-02,3.0351736e+00,9.9998236e-01
16,5.3187465e-02,3.0351756e+00,9.9998235e-01
17,5.3188060e-02,3.0351762e+00,9.9998235e-01
18,5.3187571e-02,3.0351757e+00,9.9998235e-01
19,5.3187363e-02,3.0351755e+00,9.9998235e-01
20,5.3187475e-02,3.0351756e+00,9.9998235e-01
21,5.3187542e-02,3.0351757e+00,9.9998235e-01
22,5.3187518e-02,3.0351757e+00,9.9998235e-01
23,5.3187498e-02,3.0351757e+00,9.9998235e-01
24,5.3187502e-02,3.0351757e+00,9.9998235e-01
101,1.999
0,,9.9694869e-01
1,1.5973663e-02,1.9840263e+00,9.9949842e-01
2,1.7007470e-02,2.0170075e+00,9.9926034e-01
3,2.3335161e-02,2.0233352e+00,9.9932715e-01
4,2.4363567e-02,2.0243636e+00,9.9927431e-01
5,2.3947672e-02,2.0239477e+00,9.9927995e-01
6,2.3766527e-02,2.0237665e+00,9.9928093e-01
7,2.3774115e-02,2.0237741e+00,9.9928159e-01
8,2.3792330e-02,2.0237923e+00,9.9928143e-01
9,2.3794737e-02,2.0237947e+00,9.9928137e-01
10,2.3793458e-02,2.0237935e+00,9.9928137e-01
11,2.3793018e-02,2.0237930e+00,9.9928137e-01
12,2.3793061e-02,2.0237931e+00,9.9928137e-01
13,2.3793109e-02,2.0237931e+00,9.9928137e-01
14,2.3793114e-02,2.0237931e+00,9.9928137e-01
101,2.999
0,,9.9948905e-01
1,3.9438234e-02,3.0394382e+00,4.8576679e-01
2,4.7615181e-04,3.0004762e+00,9.5925864e-01
3,5.1349607e-03,2.9948650e+00,9.6393585e-01
4,5.5326677e-03,2.9944673e+00,9.6434787e-01
5,5.5707404e-03,2.9944293e+00,9.6437655e-01
6,5.5734230e-03,2.9944266e+00,9.6437834e-01
7,5.5735915e-03,2.9944264e+00,9.6437846e-01
8,5.5736020e-03,2.9944264e+00,9.6437846e-01
9,5.5736027e-03,2.9944264e+00,9.6437846e-01
