Power+Rayleigh,,,,
eigen,error,vectorerror,,
100.0000000000 ,,,,
3.9990256700 ,0.0000068942 ,0.0487449970 ,0.0000068950 ,0.0487479590 
3.9961339660 ,0.0000027714 ,0.0291705910 ,0.0000027797 ,0.0291342930 
97.1220000000 ,,,114.4210000000 ,
101.0000000000 ,,,,
3.9990444040 ,0.0000070359 ,0.0497307750 ,0.0000070350 ,0.0497266520 
3.9962094880 ,0.0000028306 ,0.0297508040 ,0.0000028366 ,0.0297212990 
36.2650000000 ,,,54.2500000000 ,
100.0000000000 ,,,,
3.9990256740 ,0.0000068911 ,0.0487332470 ,,
3.9961339790 ,0.0000027851 ,0.0291000270 ,,
108.2530000000 ,,,,
101.0000000000 ,,,,
3.9990444090 ,0.0000070310 ,0.0497096570 ,,
3.9962094950 ,0.0000028371 ,0.0297180050 ,,
46.5130000000 ,,,,
100.0000000000 ,,,,
3.9990256650 ,0.0000068997 ,0.0487656320 ,,
3.9961339770 ,0.0000027825 ,0.0291322610 ,,
137.8880000000 ,,,,
101.0000000000 ,,,,
3.9990444010 ,0.0000070380 ,0.0497395230 ,,
3.9962095000 ,0.0000028421 ,0.0296950870 ,,
79.9720000000 ,,,,
,,,,
Subspace I.,,,,
eigen,error,vectorerror,,
100.0000000000 ,,,,
3.9990324990 ,0.0029013050 ,0.0058434780 ,0.0029013030 ,0.0052787320 
3.9961311980 ,0.0029013670 ,0.0046992390 ,0.0029013280 ,0.0048109110 
74.9160000000 ,,,88.6950000000 ,
101.0000000000 ,,,,
3.9990513690 ,0.0028447120 ,0.0049637610 ,0.0028447120 ,0.0050255470 
3.9962067280 ,0.0028447120 ,0.0049625300 ,0.0028447150 ,0.0049628770 
45.8980000000 ,,,49.0620000000 ,
100.0000000000 ,,,,
3.9990324960 ,0.0029013020 ,0.0048684370 ,,
3.9961312630 ,0.0029013020 ,0.0048683640 ,,
119.7650000000 ,,,,
101.0000000000 ,,,,
3.9990513690 ,0.0028447120 ,0.0049628220 ,,
3.9962067280 ,0.0028447120 ,0.0049627730 ,,
56.3690000000 ,,,,
100.0000000000 ,,,,
3.9990324960 ,0.0029013020 ,0.0051242810 ,,
3.9961312500 ,0.0029013140 ,0.0048651300 ,,
71.4040000000 ,,,,
101.0000000000 ,,,,
3.9990513690 ,0.0028447120 ,0.0051500560 ,,
3.9962067190 ,0.0028447210 ,0.0049633280 ,,
44.9190000000 ,,,,
,,,,
Power-Original,,,,
100.0000000000 ,,,,
3.9990185108 ,0.0000140538 ,0.0315766608 ,0.0001225451 ,0.0885447044 
3.9947813581 ,0.0013498362 ,0.2147745965 ,0.0012065440 ,0.2337408879 
431.3260000000 ,,,381.6396666667 ,
101.0000000000 ,,,,
3.9990380638 ,0.0000133757 ,0.0388102788 ,0.0004065000 ,0.1721329626 
3.9955872894 ,0.0006193681 ,0.1245595530 ,0.0010474966 ,0.2331550788 
58.4970000000 ,,,89.8790000000 ,
100.0000000000 ,,,,
3.9990376980 ,0.0000051334 ,0.0007558878 ,,
3.9961394689 ,0.0000082746 ,0.0024153845 ,,
597.6960000000 ,,,,
101.0000000000 ,,,,
3.9989771917 ,0.0000742477 ,0.0978232388 ,,
3.9962251049 ,0.0000184474 ,0.0037466464 ,,
177.6880000000 ,,,,
100.0000000000 ,,,,
3.9986841166 ,0.0003484480 ,0.2333015645 ,,
3.9938696730 ,0.0022615212 ,0.4840326828 ,,
115.8970000000 ,,,,
101.0000000000 ,,,,
3.9979195629 ,0.0011318765 ,0.3797653702 ,,
3.9937019832 ,0.0025046743 ,0.5711590369 ,,
33.4520000000 ,,,,
