Classic,100
0,1.407e+01,4.454e+00
0.2,2.698e-01,6.989e-02
0.4,9.053e-02,1.742e-02
0.6,3.379e-02,6.031e-03
0.8,2.018e-02,2.196e-03
1.0,7.736e-03,7.180e-04
1.2,3.160e-03,2.030e-04
1.4,6.329e-04,4.824e-05
1.6,1.013e-04,9.320e-06
1.8,1.378e-05,1.370e-06
2.0,1.856e-06,1.315e-07
2.2,9.275e-08,9.845e-09
2.4,7.636e-09,4.108e-10
2.6,2.153e-10,9.798e-12
2.8,3.041e-12,1.421e-13
3.0,7.747e-14,0.000e+00
3.003,7.433e-14,0.000e+00
4,Cyclic,100
0,1.407e+01,4.454e+00
1,4.763e+00,8.713e-01
2,1.457e+00,2.813e-01
3,3.721e-01,6.980e-02
4,1.438e-01,1.546e-02
5,3.883e-02,1.963e-03
6,1.232e-02,1.407e-04
7,2.155e-04,1.547e-06
8,1.455e-07,1.456e-09
9,9.506e-14,0.000e+00
10,9.296e-14,0.000e+00
11,9.296e-14,0.000e+00
11,Threshold,100
0,1.407e+01,4.454e+00
1,5.039e+00,9.025e-01
2,1.524e+00,2.611e-01
3,3.465e-01,8.427e-02
4,2.712e-01,5.249e-02
5,2.342e-01,4.611e-02
6,2.350e-01,4.502e-02
7,2.345e-01,4.494e-02
8,5.119e-02,8.377e-03
9,6.558e-03,3.646e-04
10,4.974e-04,9.001e-06
11,5.773e-05,4.818e-06
12,5.770e-05,4.801e-06
13,1.345e-08,5.012e-10
14,4.582e-09,2.429e-10
15,2.654e-13,1.776e-14
16,6.441e-14,0.000e+00
16,Classic,101
0,1.414e+01,4.477e+00
0.2,2.562e-01,6.793e-02
0.4,8.134e-02,1.591e-02
0.6,2.973e-02,5.520e-03
0.8,1.562e-02,2.044e-03
1.0,6.866e-03,6.744e-04
1.2,3.914e-03,1.895e-04
1.4,3.696e-04,4.299e-05
1.6,1.135e-04,8.162e-06
1.8,1.538e-05,1.240e-06
2.0,2.312e-06,1.240e-07
2.2,1.262e-07,7.770e-09
2.4,3.205e-09,3.067e-10
2.6,1.716e-10,7.773e-12
2.8,1.838e-12,1.066e-13
3.0,9.188e-14,3.553e-15
3.009,9.104e-14,0.000e+00
4,Cyclic,101
0,1.414e+01,4.477e+00
1,4.797e+00,8.750e-01
2,1.525e+00,2.845e-01
3,4.152e-01,7.224e-02
4,1.645e-01,1.590e-02
5,4.698e-02,1.980e-03
6,8.332e-03,1.367e-04
7,3.422e-04,1.297e-06
8,2.853e-07,1.563e-09
9,8.703e-13,0.000e+00
10,9.410e-14,0.000e+00
11,9.410e-14,0.000e+00
11,Threshold,101
0,1.414e+01,4.477e+00
1,5.071e+00,9.069e-01
2,1.538e+00,2.676e-01
3,3.632e-01,9.300e-02
4,2.830e-01,5.340e-02
5,2.494e-01,4.633e-02
6,2.502e-01,4.566e-02
7,2.505e-01,4.556e-02
8,4.944e-02,7.914e-03
9,8.386e-03,4.400e-04
10,4.726e-04,1.029e-05
11,6.838e-05,4.977e-06
12,6.837e-05,4.969e-06
13,2.572e-08,6.352e-10
14,2.799e-09,2.338e-10
15,3.584e-13,1.776e-14
16,9.798e-14,0.000e+00
