100.000000000 ,,,,,,
原,一步反幂法,真,ERROR-真,ERROR-一步,matlab一步,ERROR
1.018011831 ,1.018007103 ,1.018011838 ,0.000000007 ,0.000004735 ,1.01801183805 ,0.00000000005 
1.072672941 ,1.072682283 ,1.072672936 ,0.000000005 ,0.000009347 ,1.07267294597 ,0.00000000997 
1.128231160 ,1.128226433 ,1.128231163 ,0.000000003 ,0.000004730 ,1.12823116305 ,0.00000000005 
1.184632771 ,1.184624692 ,1.184632770 ,0.000000001 ,0.000008078 ,1.18463277188 ,0.00000000188 
1.241823189 ,1.241826234 ,1.241823192 ,0.000000003 ,0.000003042 ,1.24182319232 ,0.00000000032 
1.299747102 ,1.299759411 ,1.299747102 ,0.000000000 ,0.000012309 ,1.29974710238 ,0.00000000038 
1.358348467 ,1.358359417 ,1.358348460 ,0.000000007 ,0.000010957 ,1.35834847363 ,0.00000001363 
1.417570569 ,1.417566017 ,1.417570576 ,0.000000007 ,0.000004559 ,1.41757057555 ,0.00000000045 
1.477356158 ,1.477357918 ,1.477356154 ,0.000000004 ,0.000001764 ,1.47735616243 ,0.00000000843 
1.537647359 ,1.537657270 ,1.537647356 ,0.000000003 ,0.000009914 ,1.53764736223 ,0.00000000623 
1.598385848 ,1.598384055 ,1.598385854 ,0.000000006 ,0.000001799 ,1.59838585429 ,0.00000000029 
1.659512885 ,1.659517795 ,1.659512889 ,0.000000004 ,0.000004906 ,1.65951288856 ,0.00000000044 
1.720969327 ,1.720965582 ,1.720969322 ,0.000000005 ,0.000003740 ,1.72096933189 ,0.00000000989 
1.782695703 ,1.782684268 ,1.782695700 ,0.000000003 ,0.000011432 ,1.78269570617 ,0.00000000617 
1.844632305 ,1.844471018 ,1.844632305 ,0.000000000 ,0.000161287 ,1.84463230542 ,0.00000000042 
1.906719215 ,1.906724113 ,1.906719219 ,0.000000004 ,0.000004894 ,1.90671921923 ,0.00000000023 
1.968896382 ,1.968894766 ,1.968896376 ,0.000000006 ,0.000001610 ,1.96889638784 ,0.00000001184 
,,,0.000000004 ,0.000015241 ,,0.00000000416 
101.000000000 ,,,,,,
原,一步反幂法,真,,,,
1.053812884 ,1.053826684 ,1.053812886 ,0.000000002 ,0.000013798 ,1.05381288633 ,0.00000000033 
1.108523287 ,1.108519622 ,1.108523288 ,0.000000001 ,0.000003666 ,1.10852328845 ,0.00000000045 
1.164079316 ,1.164085801 ,1.164079310 ,0.000000006 ,0.000006491 ,1.16407932177 ,0.00000001177 
1.220428251 ,1.220436010 ,1.220428253 ,0.000000002 ,0.000007757 ,1.22042825341 ,0.00000000041 
1.277516671 ,1.277512670 ,1.277516668 ,0.000000003 ,0.000003998 ,1.27751667437 ,0.00000000637 
1.335290395 ,1.335287288 ,1.335290401 ,0.000000006 ,0.000003113 ,1.33529040104 ,0.00000000004 
1.393694647 ,1.393691536 ,1.393694652 ,0.000000005 ,0.000003116 ,1.39369465177 ,0.00000000023 
1.452674024 ,1.452671021 ,1.452674020 ,0.000000004 ,0.000002999 ,1.45267402814 ,0.00000000814 
1.512172557 ,1.512169811 ,1.512172560 ,0.000000003 ,0.000002749 ,1.51217255978 ,0.00000000022 
1.572133832 ,1.572132184 ,1.572133834 ,0.000000002 ,0.000001650 ,1.57213383359 ,0.00000000041 
1.632500969 ,1.632506306 ,1.632500964 ,0.000000005 ,0.000005342 ,1.63250097363 ,0.00000000963 
1.693216689 ,1.693203427 ,1.693216690 ,0.000000001 ,0.000013263 ,1.69321669024 ,0.00000000024 
1.754223414 ,1.754226086 ,1.754223419 ,0.000000005 ,0.000002667 ,1.75422341867 ,0.00000000033 
1.815463282 ,1.815466887 ,1.815463281 ,0.000000001 ,0.000003606 ,1.81546328293 ,0.00000000193 
1.876878195 ,1.876874760 ,1.876878188 ,0.000000007 ,0.000003428 ,1.87687820227 ,0.00000001427 
1.938409887 ,1.938411442 ,1.938409883 ,0.000000004 ,0.000001559 ,1.93840989111 ,0.00000000811 
1.999999993 ,1.999997666 ,2.000000000 ,0.000000007 ,0.000002334 ,2.00000000000 ,0.00000000000 
,,,0.000000004 ,0.000004796 ,,0.00000000370 
