size,非对角元误差,迭代次数,特征值误差
90,8.97E-07,214387,6.43E-06
91,3.85E-07,1516735,7.94E-06
92,8.30E-07,3092345,2.07E-04
93,6.98E-07,242296,4.96E-05
94,4.70E-07,1759360,2.47E-05
95,6.74E-07,723983,7.77E-05
96,8.72E-07,867793,6.24E-06
97,6.42E-08,1514381,2.01E-06
98,9.59E-07,328974,4.61E-05
99,4.64E-07,5227197,8.67E-06
100,8.93E-07,2593296,5.59E-06
101,9.31E-07,619313,5.53E-04
102,9.16E-07,3160585,3.55E-05
103,9.67E-07,5710946,5.39E-05
104,1.04E-06,228689,9.14E-06
105,8.57E-07,14537029,2.31E-05
106,7.20E-07,290438,5.46E-06
107,1.06E-06,1230646,1.49E-05
108,9.84E-07,11170254,1.69E-05
109,1.02E-06,12026092,6.40E-05
