0,-0.1500000000,0.1400000000,-1.8941400000,-0.7704207701
1,-0.2590994943,1.5592755514,5.4777581674,0.2019661590
2,-0.0806444010,1.0138082066,0.5650451601,-0.0646947350,inf
3,0.0012905391,1.0010172575,-0.0016339577,0.0023099413,-0.0000000000
4,0.0000005937,1.0000015468,0.0000057181,0.0000021405,1.7655780442
5,-0.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0359009490
6,-0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.7936259186

0,1.0000000000,1.0000000000,-6.0000000000,0.9891437136
1,1.9864178147,2.4898133610,14.0067298776,-0.9916167420
2,1.7926471297,1.9194701344,2.1093342954,-0.8922349118,inf
3,1.6905510157,1.7864254336,0.1351725965,0.6727679482,-0.0000000000
4,1.7778343518,1.7981962021,0.0043326919,-0.2135427335,-0.5706954136
5,1.7596477923,1.7939575748,0.0003627433,0.0011837849,-0.2136877605
6,1.7597594212,1.7939610534,0.0000000015,-0.0000000678,-0.0056575559
7,1.7597594154,1.7939610521,0.0000000000,-0.0000000000,-0.0000561423

0,-1.0000000000,-1.0000000000,6.0000000000,-0.9794829136
1,-5.6846668686,7.5270003030,-115.3091027294,-0.8273795150
2,44.1606002037,65.9161023854,204597.5028750818,-0.9032938686,inf
3,44.6651795567,32.6561980966,50515.7912482202,0.3043441472,-0.0000000000
4,45.1673072903,16.2586153578,12413.4988095972,-0.7365043852,0.3835416305
5,45.6597501701,8.2521759884,2991.0332955388,0.8673818235,0.2222420891
6,46.1152695210,4.4931501392,665.7517308271,0.9387728366,-0.0107539028
7,46.4532267702,2.9746574778,109.4185975753,-0.2352973932,16.1682590346
8,46.5785151762,2.6019673840,6.6085561315,0.9728111397,0.4457272299
9,46.5883559842,2.5763619226,0.0312008133,-0.7922561103,0.0807247616
10,46.5884033542,2.5762398803,0.0000007088,-0.2653216017,0.0048216318
11,46.5884033553,2.5762398775,-0.0000000000,-0.4757434549,0.0000227196
12,46.5884033553,2.5762398775,0.0000000000,-0.2653216017,0.0000000000
13,46.5884033553,2.5762398775,-0.0000000000,-0.4757434549,-nan
14,46.5884033553,2.5762398775,0.0000000000,-0.2653216017,-nan
15,46.5884033553,2.5762398775,-0.0000000000,-0.4757434549,-nan
16,46.5884033553,2.5762398775,0.0000000000,-0.2653216017,-nan
17,46.5884033553,2.5762398775,-0.0000000000,-0.4757434549,-nan
18,46.5884033553,2.5762398775,0.0000000000,-0.2653216017,-nan
19,46.5884033553,2.5762398775,-0.0000000000,-0.4757434549,-nan
20,46.5884033553,2.5762398775,0.0000000000,-0.2653216017,-nan
